# Kerning | Font: Centenary-Regular | zones=9 supersample=10 smooth=40% round=1 mingap=1/2
# Basiswert LC (n+n): Ø342.6  |  Basiswert UC (O+O): Ø515.1
# Format: LinkerBuchstabe;RechterBuchstabe;Korrekturwert (LC/UC z<i>:Zonenwert,...)
# Korrektur = round(Basiswert - PaarDurchschnitt) | Negativ=enger, Positiv=weiter
.notdef;o;-66 (LC z2:485.3,z3:380.4,z4:313.2,z5:378.3,z6:483.2)
.notdef;oacute;-132 (LC z2:485.3,z3:380.4,z4:313.2,z5:378.3,z6:483.2,z7:588.1,z8:693)
.notdef;ocircumflex;-132 (LC z2:485.3,z3:380.4,z4:313.2,z5:378.3,z6:483.2,z7:588.1,z8:693)
.notdef;odieresis;-95 (LC z2:485.3,z3:380.4,z4:313.2,z5:378.3,z6:483.2,z7:487.3,z8:536.4)
.notdef;ograve;-114 (LC z2:485.3,z3:380.4,z4:313.2,z5:378.3,z6:483.2,z7:588.1,z8:565.9)
.notdef;otilde;-84 (LC z2:485.3,z3:380.4,z4:313.2,z5:378.3,z6:483.2,z7:518.5)
.notdef;p;-56 (LC z0:356.9,z1:430.9,z2:432.8,z3:430.7,z4:425.5,z5:379.2,z6:335.5)
.notdef;q;-126 (LC z0:686.6,z1:581.7,z2:476.8,z3:371.9,z4:312.8,z5:371.6,z6:476.5)
.notdef;r;-49 (LC z2:299,z3:403.9,z4:442.5,z5:415.1,z6:399.5)
.notdef;s;-31 (LC z2:375.3,z3:311,z4:415.9,z5:329.6,z6:434.5)
.notdef;germandbls;-110 (LC z2:523.2,z3:423.8,z4:441.4,z5:416.4,z6:387,z7:434.3,z8:539.2)
.notdef;t;-85 (LC z2:502.6,z3:416.1,z4:404.7,z5:392.4,z6:370.9,z7:475.8)
.notdef;u;-74 (LC z2:541.7,z3:437.9,z4:424.2,z5:391.9,z6:287)
.notdef;uacute;-133 (LC z2:541.7,z3:437.9,z4:424.2,z5:420.5,z6:397.3,z7:502.2,z8:607.1)
.notdef;ucircumflex;-125 (LC z2:541.7,z3:437.9,z4:424.2,z5:420.5,z6:378.4,z7:483.3,z8:588.2)
.notdef;udieresis;-82 (LC z2:541.7,z3:437.9,z4:424.2,z5:391.9,z6:287,z7:391.9,z8:496.8)
.notdef;ugrave;-168 (LC z2:541.7,z3:437.9,z4:424.2,z5:420.5,z6:525.4,z7:630.3,z8:595.9)
.notdef;v;-63 (LC z2:614.3,z3:548.7,z4:443.8,z5:338.9,z6:234) [cap:min=234→171.3]
.notdef;w;-63 (LC z2:584.9,z3:521.5,z4:433.8,z5:338.9,z6:234) [cap:min=234→171.3]
.notdef;wacute;-141 (LC z2:584.9,z3:521.5,z4:433.8,z5:345.6,z6:393.9,z7:498.8,z8:603.7)
.notdef;wcircumflex;-133 (LC z2:584.9,z3:521.5,z4:433.8,z5:345.6,z6:375,z7:479.9,z8:584.8)
.notdef;wdieresis;-63 (LC z2:584.9,z3:521.5,z4:433.8,z5:338.9,z6:234,z7:338.9,z8:443.8) [cap:min=234→171.3]
.notdef;wgrave;-165 (LC z2:584.9,z3:521.5,z4:433.8,z5:345.6,z6:450.5,z7:555.4,z8:660.3)
.notdef;x;8 (LC z2:234,z3:338.9,z4:443.8,z5:401.8,z6:255.2)
.notdef;y;-70 (LC z0:363.9,z1:579.8,z2:646.5,z3:556.2,z4:451.3,z5:346.4,z6:241.5) [cap:min=241.5→171.3]
.notdef;yacute;-136 (LC z0:363.9,z1:579.8,z2:646.5,z3:567.9,z4:471.6,z5:373.3,z6:331.2,z7:436.1,z8:541)
.notdef;ycircumflex;-130 (LC z0:363.9,z1:579.8,z2:646.5,z3:567.9,z4:471.6,z5:373.3,z6:312.3,z7:417.2,z8:522.1)
.notdef;ydieresis;-70 (LC z0:363.9,z1:579.8,z2:646.5,z3:556.2,z4:451.3,z5:346.4,z6:241.5,z7:346.4,z8:451.3) [cap:min=241.5→171.3]
.notdef;ygrave;-140 (LC z0:363.9,z1:468.8,z2:573.7,z3:567.9,z4:471.6,z5:373.3,z6:464.2,z7:558.8,z8:498.9)
.notdef;z;-76 (LC z2:314.8,z3:403.3,z4:508.2,z5:473.1,z6:395.5)
.notdef;s.fina;-74 (LC z2:297,z3:401.9,z4:441.4,z5:416.4,z6:387,z7:434.1,z8:539)
.notdef;zero;-59 (mixed→LC z2:537.6,z3:432.7,z4:331.7,z5:303.7,z6:316.8,z7:391,z8:495.9)
.notdef;one;-281 (mixed→LC z2:478,z3:582.9,z4:679.5,z5:684.3,z6:684,z7:680.3,z8:577.2)
.notdef;two;-149 (mixed→LC z2:513.9,z3:409,z4:604.6,z5:582.4,z6:477.5,z7:372.6,z8:477.5)
